,cate,name,author,publisher,price
0,분야 종합,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,나무옆의자,"12,600원"
1,분야 종합,운명을 바꾸는 부동산 투자 수업: 기초편,정태익,리더스북,"15,120원"
2,분야 종합,면접바이블 2.0,면접왕 이형,얼라이브북스(Alivebooks),"17,820원"
3,분야 종합,2022 제13회 젊은작가상 수상작품집,임솔아,문학동네,"6,930원"
4,분야 종합,마음의 법칙,폴커 키츠,포레스트북스,"14,400원"
5,분야 종합,이어령의 마지막 수업,김지수,열림원,"14,850원"
6,분야 종합,이상한 과자 가게 전천당 14,히로시마 레이코,길벗스쿨,"10,800원"
7,분야 종합,저주토끼(3판),정보라,아작,"13,320원"
8,분야 종합,컬러애 물들다,밥 햄블리,리드리드출판,"15,120원"
9,분야 종합,웰씽킹(10만 부 기념 한정판 골드 에디션),켈리 최,다산북스,"14,400원"
10,분야 종합,물고기는 존재하지 않는다,룰루 밀러,곰출판,"15,300원"
11,분야 종합,"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,"13,500원"
12,분야 종합,가불 선진국,조국,메디치미디어,"14,400원"
13,분야 종합,파친코 1,이민진,문학사상,"13,050원"
14,분야 종합,당신은 결국 무엇이든 해내는 사람,김상현,필름(Feelm),"13,500원"
15,분야 종합,도쿄 에일리언즈 2,Naoe,서울미디어코믹스(서울문화사),"4,500원"
16,분야 종합,게으른 뇌에 행동 스위치를 켜라,오히라 노부타카,밀리언서재,"13,500원"
17,분야 종합,꽃샘바람에 흔들린다면 너는 꽃,류시화,수오서재,"12,150원"
18,분야 종합,위대한 국민의 나라,문재인대통령 비서실,한스미디어,"18,000원"
19,분야 종합,나에게 고맙다(30만 부 기념 전면 개정판),전승환,북로망스,"14,400원"
20,소설,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,나무옆의자,"12,600원"
21,소설,2022 제13회 젊은작가상 수상작품집,임솔아,문학동네,"6,930원"
22,소설,저주토끼(3판),정보라,아작,"13,320원"
23,소설,"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,"13,500원"
24,소설,파친코 1,이민진,문학사상,"13,050원"
25,소설,백광,렌조 미키히코,모모,"13,050원"
26,소설,테라피스트,B. A. 패리스,모모,"14,400원"
27,소설,달러구트 꿈 백화점(100만부 기념 합본호: Gift Edition)(양장본 HardCover),이미예,팩토리나인,"21,600원"
28,소설,미드나잇 라이브러리(1주년 스페셜 에디션),매트 헤이그,인플루엔셜,"14,220원"
29,소설,"칵테일, 러브, 좀비(안전가옥 쇼-트 2)",조예은,안전가옥,"9,000원"
30,소설,달러구트 꿈 백화점,이미예,팩토리나인,"12,420원"
31,소설,아몬드(양장본 HardCover),손원평,창비,"10,800원"
32,소설,지구 끝의 온실,김초엽,자이언트북스,"13,500원"
