,name,tel,address
0,흥덕지구점,031-212-9293,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호"
1,후곡점,031-913-9289,경기도 고양시 일산서구  일산로 576
2,효자중화산2호점,063-223-9492,"전라북도 전주시 완산구  용머리로 101 상가2동 지1층 201호, 202호"
3,효자중화산1호점,063-232-8294,전라북도 전주시완산구  효동3길 24  1층 (효자동1가)
4,효성2동점,032-547-8294,인천광역시 계양구 마장로 549 1층 107호 (효성동)
5,회덕점,031-797-9293,경기도 광주시  이배재로 108
6,황상인의점,054-473-9482,경상북도 구미시  여현로 80
7,화천점,033-442-9994,강원도 화천군 화천읍 중앙로 37번지
8,화정1동점,031-967-9592,경기도 고양시 덕양구  은빛로29번길 15-4
9,화양점,02-461-9993,"서울특별시 광진구   능동로19길 53, 1층"
10,화성마도점,031-356-5708,경기도 화성시 마도면 두곡서길 35 1층
11,화성남양점,031-356-9207,"경기도 화성시 남양읍 역골동로 20-10,1층"
12,화서1동점,031-248-6999,경기도 수원시 팔달구 화서동 219-1번지 101호
13,화북삼양점,064-759-9282,제주도 제주시  진동로1길 13
14,화곡본동점,02-2601-8292,서울특별시 강서구 화곡동 29-27
15,화곡4동점,02-2643-9294,서울특별시 강서구 화곡4동 827-8번지
16,화곡1동점,02-2694-9294,서울특별시 강서구  곰달래로 19길 46 1층
17,홍천점,033-436-9292,강원도 홍천군 홍천읍 연봉리 502-5번지
18,홍제2호점,02-720-9492,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호"
19,홍제1호점,02-732-9595,서울특별시 서대문구 홍제동 155-6번지
20,홍은2동점,02-395-9293,"서울특별시 서대문구  백련사길 6, 1층(홍은동)"
21,홍성읍점,041-631-9255,충청남도 홍성군 홍성읍 문화로 33번길 10
22,홍농읍점,061-356-9004,"전라남도 영광군 홍농읍 상하길 33, 102호"
23,호평점,031-592-9392,"경기도 남양주시 호평로69번길 3-1,1층 (호평동)"
24,호원1호점,031-875-0006,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)"
25,호수동점,031-410-9475,"경기도 안산시 단원구  광덕2로 194-8,108호"
26,호매실점,031-292-8294,"경기도 수원시 권선구  서수원로523번길 30-35, 101호"
27,호계점,031-452-9292,"경기도  안양시 동안구  엘에스로 45, 1층 117호(호계동, 대영골든타워)"
28,현풍점,053-617-9492,대구광역시 달성군 현풍면 현풍중앙로14길 85
29,헬리오시티점,02-422-9294,"서울특별시 송파구  송파대로37길 88, 2층(석촌동)"
30,향동점,02-3159-9494,"경기도 고양시 덕양구  꽃내음2길 50-7 , 1층 일부호 (향동동)"
31,향남지구점,031-359-9282,"경기도 화성시 향남읍 행정서로3길 4-16, 102호"
32,향남2지구점,031-352-4837,"경기도 화성시 향남읍 상신하길로298번길 7-27, 111호"
33,행신2호점,031-972-9294,"경기도 고양시 덕양구  중앙로 478, 109호"
34,행당점,02-2294-9294,서울특별시 성동구  행당로 79
35,해운대중동점,051-701-9235,"부산광역시 해운대구  달맞이길65번길 15, 103호"
36,해남점,061-537-9494,전라남도 해남군 해남읍 법원길4
37,함열점,063-862-9994,전라북도 익산시 함열읍 함열1길 28
38,함안칠원점,055-587-9030,경상남도 함안군 칠원읍 구성길 43
39,함안가야점,055-583-9282,경상남도 함안군 가야읍 가야로 135
40,함덕점,064-782-5469,"제주특별자치도 제주시 조천읍 조함해안로 434, 2층"
