SN,TITLE,CONTENT_link,DATE,VOTE
192392.0,"수서차량기지 이전과 3호선 성남,광주연장 방안",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192392,2022-04-26 20:11:45.0,6.0
192387.0,"공유 전동 킥보드, 개인 킥보드 제안 입니다.",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192387,2022-04-26 12:25:22.0,1.0
192385.0,오늘 시내버스 파업 했으면 교통이 불편한 지역 입니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192385,2022-04-26 10:51:31.0,2.0
192378.0,여행중 발견한 의문의 &#39;초록선&#39;…따라가봤더니 벌어진 일 [프랑스2022],http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192378,2022-04-26 09:34:48.0,1.0
192374.0,버스 준공영제 폐지하라,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192374,2022-04-25 14:31:30.0,1.0
192373.0,"서울둘레길, 한양도성 완주 뱃지 디자인에 대해",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192373,2022-04-25 11:51:55.0,1.0
192372.0,서초동 삼풍아파트에 올빼미버스 신설해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192372,2022-04-24 17:27:04.0,3.0
192371.0,서초동 삼풍아파트 아크로비스타에 시내버스 신설해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192371,2022-04-24 17:21:51.0,3.0
192370.0,서초동 법조단지 정거장에 일체형 알뜰 버스 정보 안내 단말기 설치요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192370,2022-04-24 17:13:44.0,1.0
192369.0,오세훈 시장님! 서울의 발전을 위해선 GTX-D는 ‘인천공항’과 연결되어야 합니다. 재선 공약으로 채택해 주십시오. (부제 : GTX-D의 희망 기점에 대한 설문조사 제안),http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192369,2022-04-24 13:28:47.0,263.0
192366.0,"개포동 주민의 교통편의를 위한 위례과천선의 완,급행 노선추진으로 구룡초교사거리역과 구룡역(환승역)의 신설을 요청",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192366,2022-04-23 16:06:43.0,4.0
192357.0,서울 신차 구입 시 공채 할인 너무한 거 아닙니까?,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192357,2022-04-22 09:42:30.0,2.0
192354.0,음식점 반찬 수량 제한,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192354,2022-04-21 00:05:46.0,1.0
192352.0,스마트 도서관에서 제가 원하는 책을 받아 읽고 싶습니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192352,2022-04-20 14:15:36.0,11.0
192351.0,실버65세이상저렴한통신요금(단말기포함)건의,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192351,2022-04-20 13:47:01.0,1.0
192349.0,공원 꾸미기,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192349,2022-04-20 10:42:36.0,1.0
192343.0,120다산콜재단 카톡 서비스 합시다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192343,2022-04-17 18:18:15.0,2.0
192337.0,1082버스 노선변경에 관해,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192337,2022-04-15 21:23:34.0,1.0
192335.0,SH공사 중랑구 이전 촉구,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192335,2022-04-15 18:47:28.0,7.0
192332.0,어린이와 강아지가 함께 뛰노는 공원을 꿈꾸며...,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192332,2022-04-15 15:46:53.0,13.0
192330.0,화곡동 발전을 위해 곰달래길을 넓히려는 화곡2동주민센터인근구역~~!!! 3080+ 도심공공주택복합사업 후보지 지정을 꼭 해주세요~!!!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192330,2022-04-15 13:19:11.0,145.0
192329.0,따릉이 대여소에 일반 자전거 및 오토바이 거치에 대한 규제를 요청합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192329,2022-04-15 08:19:06.0,5.0
192328.0,사람 도서관을 서울시에서도 시행해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192328,2022-04-14 12:02:10.0,2.0
192327.0,트럭 확성기 영업 제한 혹은 금지,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192327,2022-04-14 11:50:17.0,1.0
192326.0,출산지원을 출산후 지원도 검토해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192326,2022-04-14 07:55:18.0,1.0
192325.0,서울시 전기차 완속충전기 선정시  평가항목에 시간대/계절별 요금제시항목을 추가해주십시요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192325,2022-04-13 15:09:48.0,1.0
192324.0,신논현역 논현역 신사역에 신분당선 안내방송 추가로 넣어야 합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192324,2022-04-13 14:25:27.0,1.0
192322.0,세계 최고의 따릉이 만들기 위한 빅데이터 놀이,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192322,2022-04-12 21:15:31.0,1.0
192321.0,주청차 위반 CCTV추가 설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192321,2022-04-12 12:29:59.0,2.0
192320.0,서울특별시 버스 정류장 [덕성여중고] 관련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192320,2022-04-11 20:34:08.0,2.0
192317.0,「서울꿈새김판」 문안 공모전 진행은 공정과 상식에 맞게,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192317,2022-04-11 10:31:12.0,2.0
192316.0,한강그늘막설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192316,2022-04-10 13:07:10.0,2.0
192315.0,한강 잠원고수부지 조경,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192315,2022-04-10 10:50:44.0,4.0
192314.0,낮에 물청소,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192314,2022-04-10 10:02:40.0,1.0
192313.0,자전거 역주행을 막는 방법 제안입니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192313,2022-04-09 21:19:19.0,1.0
192311.0,서초동 삼풍아파트  버스 신설 및 확대 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192311,2022-04-07 23:51:39.0,4.0
192307.0,서울시공무원 재택근무 해제요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192307,2022-04-07 10:27:26.0,5.0
192306.0,교통신호 신설 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192306,2022-04-06 17:38:43.0,1.0
192305.0,서울페이 관련,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192305,2022-04-06 15:51:51.0,1.0
192304.0,민원번호(1AA-2203-0822627) 신사동 건물 진동에 대한 조치와 관련하여,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192304,2022-04-06 12:35:04.0,1.0
192303.0,일상으로 들어온 제로마켓을 계속 유지해주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192303,2022-04-06 11:28:13.0,1.0
192302.0,[서울시 어린이 건강도시락]을 만들어주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192302,2022-04-06 09:11:38.0,1.0
192300.0,청년수당 제도 올해로 종료한다네요. 앞으로도 연장해주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192300,2022-04-05 17:42:52.0,1.0
